,paper_id,author_id,author_name
475,5776,8090,Cesc C. Park
476,5776,4225,Gunhee Kim
477,5777,8091,Fereshteh Sadeghi
478,5777,8092,C. Lawrence Zitnick
479,5777,8093,Ali Farhadi
480,5778,8094,Yan Huang
481,5778,4613,Wei Wang
482,5778,6455,Liang Wang
483,5779,8095,Qing Sun
484,5779,5308,Dhruv Batra
485,5780,8096,Jiajun Wu
486,5780,8097,Ilker Yildirim
487,5780,5207,Joseph J. Lim
488,5780,4274,Bill Freeman
489,5780,6308,Josh Tenenbaum
490,5781,4933,Carl Vondrick
491,5781,4368,Hamed Pirsiavash
492,5781,5200,Aude Oliva
493,5781,2458,Antonio Torralba
494,5782,8098,Xiang Zhang
495,5782,8099,Junbo Zhao
496,5782,200,Yann LeCun
497,5783,8100,Alireza Makhzani
498,5783,1370,Brendan J. Frey
499,5784,8101,Song Han
500,5784,8102,Jeff Pool
501,5784,8103,John Tran
502,5784,8104,William Dally
503,5785,8105,Kevin Ellis
504,5785,8106,Armando Solar-Lezama
505,5785,6308,Josh Tenenbaum
506,5786,4452,Ricardo Henao
507,5786,7916,Zhe Gan
508,5786,8107,James Lu
509,5786,3001,Lawrence Carin
510,5787,8108,Alexander Novikov
511,5787,8109,Dmitrii Podoprikhin
512,5787,5553,Anton Osokin
513,5787,8110,Dmitry P. Vetrov
514,5788,8111,Marylou Gabrie
515,5788,8112,Eric W. Tramel
516,5788,6406,Florent Krzakala
517,5789,8113,Sebastian Bitzer
518,5789,8114,Stefan Kiebel
519,5790,5030,Mijung Park
520,5790,8115,Gergo Bohner
521,5790,3422,Jakob H. Macke
522,5791,8116,Guosheng Lin
523,5791,4132,Chunhua Shen
524,5791,8117,Ian Reid
525,5791,7207,Anton van den Hengel
526,5792,8118,Yu-Ying Liu
527,5792,7967,Shuang Li
528,5792,4523,Fuxin Li
529,5792,3161,Le Song
530,5792,2077,James M. Rehg
531,5793,8119,James McInerney
532,5793,8064,Rajesh Ranganath
533,5793,6452,David Blei
534,5794,8120,Ye Wang
535,5794,6399,David B. Dunson
536,5795,6582,David E. Carlson
537,5795,8121,Edo Collins
538,5795,8122,Ya-Ping Hsieh
539,5795,3001,Lawrence Carin
540,5795,3964,Volkan Cevher
541,5796,5523,Nicolas Heess
542,5796,8123,Gregory Wayne
543,5796,4280,David Silver
544,5796,8124,Tim Lillicrap
545,5796,3697,Tom Erez
546,5796,3696,Yuval Tassa
547,5797,6514,Behnam Neyshabur
548,5797,2816,Ruslan R. Salakhutdinov
549,5797,5014,Nati Srebro
550,5798,5586,Youssef Mroueh
551,5798,8125,Stephen Voinea
552,5798,7959,Tomaso A. Poggio
553,5799,8126,Maria Lomeli
554,5799,8127,Stefano Favaro
555,5799,1925,Yee Whye Teh
556,5800,8128,Juho Lee
557,5800,4314,Seungjin Choi
558,5801,8129,Hadi Mohasel Afshar
559,5801,4762,Justin Domke
560,5802,8130,Julian E. Yarkony
561,5802,8131,Charless Fowlkes
562,5803,8132,Mauro Scanagatta
563,5803,7461,Cassio P. de Campos
564,5803,8133,Giorgio Corani
565,5803,8134,Marco Zaffalon
566,5804,8135,Amar Shah
567,5804,1020,Zoubin Ghahramani
568,5805,2678,Vladimir Vovk
569,5805,8136,Ivan Petej
570,5805,8137,Valentina Fedorova
571,5806,7421,Jacob Andreas
572,5806,8138,Maxim Rabinovich
573,5806,6338,Michael I. Jordan
574,5806,2132,Dan Klein
575,5807,5197,Philip S. Thomas
576,5807,4943,Scott Niekum
577,5807,2708,Georgios Theocharous
578,5807,4227,George Konidaris
579,5808,8139,Mark Kozdoba
580,5808,2093,Shie Mannor
581,5809,6868,Purnamrita Sarkar
582,5809,4089,Deepayan Chakrabarti
583,5809,8140,peter j. bickel
584,5810,5192,R?mi Bardenet
585,5810,6621,Michalis Titsias RC AUEB
586,5811,3557,Nakul Verma
587,5811,8141,Kristin Branson
588,5812,6734,Reshad Hosseini
589,5812,2850,Suvrit Sra
590,5813,7137,Bo Xie
591,5813,6637,Yingyu Liang
592,5813,3161,Le Song
593,5814,6551,Xinghao Pan
594,5814,8142,Dimitris Papailiopoulos
595,5814,7243,Samet Oymak
596,5814,3537,Benjamin Recht
597,5814,7986,Kannan Ramchandran
598,5814,6338,Michael I. Jordan
599,5815,8143,Siddhartha Banerjee
600,5815,8144,Peter Lofgren
601,5816,4783,Jason D. Lee
602,5816,5558,Yuekai Sun
603,5816,6740,Jonathan E. Taylor
604,5817,8145,Atsushi Shibagaki
605,5817,8146,Yoshiki Suzuki
606,5817,4388,Masayuki Karasuyama
607,5817,4389,Ichiro Takeuchi
608,5818,4356,Sewoong Oh
609,5818,8147,Kiran K. Thekumparampil
610,5818,7310,Jiaming Xu
611,5819,8148,Guillaume Papa
612,5819,8051,St?phan Cl?men?on
